"Key",dc.title,dc.date.created
"IMG_0063.jpg","Title A",2006
"IMG_1063.jpg","Title B",2010
"dog1.jpg","Title C",2010
"IMG_3999.jpg","Title D",2013
"IMG_2159.jpg","Title E",2015
"IMG_1448.jpg","Title F",2006
"IMG_0168.jpg","Title G",2009
"IMG_5534.jpg","Title H",2014
"IMG_3749.jpg","Title I",2015
"IMG_0941.jpg","Title J",2009
"IMG_4970.jpg","Title K",2014
"IMG_0908.jpg","Title L",2017
"IMG_1800.jpg","Title M",2006
"IMG_0204.jpg","Title N",2009
"IMG_4591.jpg","Title O",2013
"IMG_5032.jpg","Title P",2015
"IMG_9030.jpg","Title Q",2016
